security,strike,expiry,option_type,settlement_price,last_price,bid,ask,mid_price,volume,open_interest,implied_vol,delta,gamma,theta,vega
NVDA US 11/21/25 P130 Equity,130.0,2025-11-21,PUT,,0.2,0.18,0.2,0.19,457.0,20980,75.17973,-0.013329,0.001713,-0.025141,0.018206
NVDA US 11/21/25 P135 Equity,135.0,2025-11-21,PUT,,0.22,0.22,0.23,0.225,297.0,23690,70.81906,-0.015539,0.002113,-0.026711,0.020738
NVDA US 11/21/25 P140 Equity,140.0,2025-11-21,PUT,,0.28,0.27,0.3,0.28500000000000003,1049.0,31774,67.92457,-0.019846,0.002688,-0.032065,0.025671
NVDA US 11/21/25 C280 Equity,280.0,2025-11-21,CALL,,0.16,0.16,0.17,0.165,5326.0,2143,56.80555,0.015569,0.002565,-0.022625,0.020804
NVDA US 11/21/25 C290 Equity,290.0,2025-11-21,CALL,,0.11,0.1,0.11,0.10500000000000001,345.0,2271,58.29813,0.010805,0.001816,-0.017033,0.015204
NVDA US 11/21/25 C300 Equity,300.0,2025-11-21,CALL,,0.07,0.06,0.07,0.065,3215.0,5628,59.42893,0.007029,0.001218,-0.011944,0.010426
NVDA US 11/21/25 C310 Equity,310.0,2025-11-21,CALL,,0.05,0.04,0.05,0.045,40.0,2300,61.14089,0.004982,0.000852,-0.00917,0.007609
NVDA US 11/21/25 C320 Equity,320.0,2025-11-21,CALL,,0.02,0.02,0.03,0.025,43.0,3803,61.38189,0.002165,0.000401,-0.004265,0.003543
NVDA US 11/21/25 C330 Equity,330.0,2025-11-21,CALL,,0.03,0.02,0.03,0.025,305.0,3107,64.93267,0.002945,0.0005,-0.006096,0.004755
NVDA US 11/21/25 C340 Equity,340.0,2025-11-21,CALL,,0.01,0.01,0.02,0.015,60.0,1436,65.35463,0.001111,0.000219,-0.002388,0.001978
NVDA US 11/21/25 C350 Equity,350.0,2025-11-21,CALL,,0.02,0.01,0.02,0.015,796.0,2992,68.51317,0.001922,0.000322,-0.004394,0.003241
NVDA US 11/21/25 C360 Equity,360.0,2025-11-21,CALL,,0.02,0.01,0.02,0.015,57.0,13604,71.57983,0.001851,0.000298,-0.00443,0.003134
NVDA US 11/21/25 C370 Equity,370.0,2025-11-21,CALL,,0.01,,0.02,,50.0,1197,76.36913,0.000983,0.000169,-0.002446,0.001753
NVDA US 11/21/25 P45 Equity,45.0,2025-11-21,PUT,,0.01,,0.01,,57.0,6798,176.3647,-0.000414,3.5e-05,-0.00181,0.000787
NVDA US 11/21/25 P50 Equity,50.0,2025-11-21,PUT,,0.01,,0.02,,10.0,3857,174.2134,-0.000402,3.5e-05,-0.002102,0.000759
NVDA US 11/21/25 P55 Equity,55.0,2025-11-21,PUT,,0.01,,0.02,,8.0,3956,162.5099,-0.000421,3.9e-05,-0.002108,0.000805
NVDA US 11/21/25 P60 Equity,60.0,2025-11-21,PUT,,0.01,0.01,0.02,0.015,22.0,7382,148.0356,-0.000477,4.8e-05,-0.001991,0.000895
NVDA US 11/21/25 P65 Equity,65.0,2025-11-21,PUT,,0.03,0.01,0.02,0.015,65.0,7939,138.4398,-0.000839,7.8e-05,-0.003881,0.001545
NVDA US 11/21/25 P70 Equity,70.0,2025-11-21,PUT,,0.02,0.01,0.03,0.02,173.0,7976,133.0379,-0.000911,9e-05,-0.003867,0.001656
NVDA US 11/21/25 P75 Equity,75.0,2025-11-21,PUT,,0.03,0.02,0.03,0.025,231.0,3467,127.1486,-0.001391,0.000136,-0.005486,0.002421
NVDA US 11/21/25 P80 Equity,80.0,2025-11-21,PUT,,0.03,0.02,0.04,0.03,111.0,13640,121.3295,-0.001533,0.000161,-0.005429,0.002606
NVDA US 11/21/25 P85 Equity,85.0,2025-11-21,PUT,,0.05,0.04,0.05,0.045,7.0,7976,118.4352,-0.002481,0.000253,-0.008398,0.004032
NVDA US 11/21/25 P90 Equity,90.0,2025-11-21,PUT,,0.05,0.05,0.06,0.055,46.0,17853,113.3538,-0.002521,0.000268,-0.008423,0.004189
NVDA US 11/21/25 C380 Equity,380.0,2025-11-21,CALL,,0.01,,0.01,,3.0,276,74.96046,0.00094,0.000149,-0.002328,0.001674
NVDA US 11/21/25 C390 Equity,390.0,2025-11-21,CALL,,0.01,,0.01,,47.0,74,77.68867,0.000918,0.000145,-0.002481,0.001625
NVDA US 11/21/25 P5 Equity,5.0,2025-11-21,PUT,,0.01,,0.01,,3.0,394,449.5345,-0.000138,5e-06,-0.00141,0.000314
NVDA US 11/21/25 P10 Equity,10.0,2025-11-21,PUT,,0.01,,0.01,,1.0,543,358.7514,-0.000166,7e-06,-0.00205,0.000334
NVDA US 11/21/25 P15 Equity,15.0,2025-11-21,PUT,,0.01,,0.01,,1.0,247,307.9531,-0.000204,1e-05,-0.002074,0.0004
NVDA US 11/21/25 P20 Equity,20.0,2025-11-21,PUT,,,,0.01,,0.0,424,272.6995,-0.000269,1.5e-05,-0.000601,0.000882
NVDA US 11/21/25 P25 Equity,25.0,2025-11-21,PUT,,,,0.01,,0.0,91,245.8007,-0.000294,1.8e-05,-0.000764,0.000878
NVDA US 11/21/25 P30 Equity,30.0,2025-11-21,PUT,,0.01,,0.01,,1.0,1698,224.0546,-0.000321,2.1e-05,-0.00149,0.000683
NVDA US 11/21/25 P35 Equity,35.0,2025-11-21,PUT,,0.01,,0.01,,1.0,7596,205.8433,-0.000342,2.5e-05,-0.001611,0.000711
NVDA US 11/21/25 P40 Equity,40.0,2025-11-21,PUT,,0.01,,0.01,,11.0,4919,190.159,-0.000331,2.5e-05,-0.00212,0.000647
NVDA US 11/21/25 P145 Equity,145.0,2025-11-21,PUT,,0.35,0.35,0.37,0.36,1573.0,24451,64.25677,-0.025318,0.003465,-0.03763,0.031543
NVDA US 11/21/25 P150 Equity,150.0,2025-11-21,PUT,,0.46,0.46,0.48,0.47,1231.0,28743,61.49179,-0.033654,0.004558,-0.046743,0.039915
NVDA US 11/21/25 P155 Equity,155.0,2025-11-21,PUT,,0.64,0.61,0.64,0.625,2792.0,27666,58.82495,-0.046618,0.006197,-0.058266,0.051911
NVDA US 11/21/25 P157.5 Equity,157.5,2025-11-21,PUT,,0.73,0.73,0.75,0.74,97.0,3366,57.844,-0.054028,0.007221,-0.063016,0.058215
NVDA US 11/21/25 P160 Equity,160.0,2025-11-21,PUT,,0.86,0.86,0.88,0.87,3854.0,56169,56.83048,-0.061915,0.008049,-0.070439,0.065109
NVDA US 11/21/25 P162.5 Equity,162.5,2025-11-21,PUT,,1.02,1.01,1.04,1.025,673.0,1493,55.89645,-0.072737,0.009286,-0.077877,0.073691
NVDA US 11/21/25 P165 Equity,165.0,2025-11-21,PUT,,1.22,1.21,1.22,1.2149999999999999,11510.0,51074,55.03897,-0.085089,0.010553,-0.087203,0.083082
NVDA US 11/21/25 P167.5 Equity,167.5,2025-11-21,PUT,,1.45,1.43,1.46,1.4449999999999998,1236.0,2116,54.31439,-0.099578,0.012043,-0.096598,0.093292
NVDA US 11/21/25 P170 Equity,170.0,2025-11-21,PUT,,1.71,1.71,1.73,1.72,2924.0,51928,53.61756,-0.115347,0.013577,-0.106153,0.103753
NVDA US 11/21/25 P172.5 Equity,172.5,2025-11-21,PUT,,2.03,2.03,2.06,2.045,446.0,2819,53.04195,-0.134314,0.015263,-0.117031,0.115392
NVDA US 11/21/25 P200 Equity,200.0,2025-11-21,PUT,,10.75,10.65,10.75,10.7,1094.0,5255,49.81341,-0.477905,0.029967,-0.205212,0.212048
NVDA US 11/21/25 P202.5 Equity,202.5,2025-11-21,PUT,,12.35,12.0,12.1,12.05,262.0,46,49.90578,-0.515575,0.029879,-0.206437,0.212088
NVDA US 11/21/25 P205 Equity,205.0,2025-11-21,PUT,,13.49,13.5,13.6,13.55,100.0,247,49.68028,-0.552069,0.029947,-0.203226,0.210516
NVDA US 11/21/25 P210 Equity,210.0,2025-11-21,PUT,,16.78,16.65,16.75,16.7,194.0,2268,49.45623,-0.625144,0.028807,-0.194854,0.201639
NVDA US 11/21/25 P215 Equity,215.0,2025-11-21,PUT,,20.26,20.15,20.25,20.2,37.0,15,49.33333,-0.691501,0.026953,-0.180912,0.187099
NVDA US 11/21/25 P220 Equity,220.0,2025-11-21,PUT,,24.77,23.95,24.05,24.0,367.0,710,49.28979,-0.749912,0.024457,-0.164055,0.168814
NVDA US 11/21/25 P225 Equity,225.0,2025-11-21,PUT,,28.75,28.0,28.15,28.075,25.0,65,48.80001,-0.803674,0.021678,-0.142942,0.146837
NVDA US 11/21/25 P230 Equity,230.0,2025-11-21,PUT,,33.2,32.2,32.5,32.35,55.0,535,48.37886,-0.847555,0.018727,-0.122968,0.124589
NVDA US 11/21/25 P240 Equity,240.0,2025-11-21,PUT,,47.05,41.15,41.85,41.5,2.0,11,49.58853,-0.898506,0.013726,-0.099977,0.093504
NVDA US 11/21/25 P250 Equity,250.0,2025-11-21,PUT,,55.0,50.65,51.4,51.025,40.0,1,50.14199,-0.927493,0.010306,-0.084925,0.072541
NVDA US 11/21/25 P360 Equity,360.0,2025-11-21,PUT,,,159.65,162.2,160.925,0.0,0,107.9775,-0.931422,0.003966,-0.178712,0.070025
NVDA US 11/21/25 P370 Equity,370.0,2025-11-21,PUT,,,169.7,172.2,170.95,0.0,0,112.1931,-0.979542,0.002428,-0.063075,0.025572
NVDA US 11/21/25 P380 Equity,380.0,2025-11-21,PUT,,,179.6,182.2,180.89999999999998,0.0,0,115.1975,-0.981885,0.002233,-0.061257,0.023507
NVDA US 11/21/25 P390 Equity,390.0,2025-11-21,PUT,,,189.85,192.2,191.02499999999998,0.0,0,123.9398,-0.975162,0.002395,-0.076646,0.030058
NVDA US 12/19/25 C0.5 Equity,0.5,2025-12-19,CALL,,182.4,198.0,199.15,198.575,120.0,6787,698.6485,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C1 Equity,1.0,2025-12-19,CALL,,180.58,197.55,199.1,198.325,1.0,2939,641.1857,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C1.5 Equity,1.5,2025-12-19,CALL,,184.21,197.35,199.45,198.39999999999998,40.0,658,862.8297,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C2 Equity,2.0,2025-12-19,CALL,,187.32,195.7,197.9,196.8,26.0,583,584.6673,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C2.5 Equity,2.5,2025-12-19,CALL,,181.0,196.15,198.05,197.10000000000002,1.0,109,612.2053,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C3 Equity,3.0,2025-12-19,CALL,,180.45,194.7,197.55,196.125,1.0,50,610.5176,1.0,0.0,0.0,0.0
NVDA US 11/21/25 P260 Equity,260.0,2025-11-21,PUT,,72.7,60.4,61.3,60.849999999999994,2.0,0,50.60193,-0.941582,0.008183,-0.079176,0.060974
NVDA US 11/21/25 P270 Equity,270.0,2025-11-21,PUT,,76.14,69.7,72.2,70.95,2.0,0,62.07264,-0.906143,0.0083,-0.140768,0.088682
NVDA US 11/21/25 P280 Equity,280.0,2025-11-21,PUT,,,79.65,82.2,80.92500000000001,0.0,0,67.3345,-0.909327,0.007368,-0.14966,0.086303
NVDA US 11/21/25 P290 Equity,290.0,2025-11-21,PUT,,,89.85,92.2,91.025,0.0,0,75.99602,-0.967394,0.004759,-0.06328,0.038049
NVDA US 11/21/25 P300 Equity,300.0,2025-11-21,PUT,,,99.85,102.2,101.025,0.0,0,82.23598,-0.917092,0.006009,-0.159858,0.080883
NVDA US 11/21/25 P310 Equity,310.0,2025-11-21,PUT,,,109.95,112.2,111.075,0.0,0,88.26983,-0.920536,0.005489,-0.161832,0.078191
NVDA US 11/21/25 P320 Equity,320.0,2025-11-21,PUT,,,119.7,122.2,120.95,0.0,0,89.58724,-0.976398,0.003336,-0.058995,0.028986
NVDA US 11/21/25 P330 Equity,330.0,2025-11-21,PUT,,,129.65,132.2,130.925,0.0,0,93.46907,-0.979126,0.00302,-0.055728,0.025605
NVDA US 11/21/25 P340 Equity,340.0,2025-11-21,PUT,,,139.9,142.2,141.05,0.0,0,102.4209,-0.97201,0.00308,-0.07211,0.03305
NVDA US 11/21/25 P350 Equity,350.0,2025-11-21,PUT,,,149.6,152.2,150.89999999999998,0.0,0,101.5777,-0.981878,0.002579,-0.055299,0.02319
NVDA US 11/21/25 P175 Equity,175.0,2025-11-21,PUT,,2.43,2.41,2.44,2.425,3870.0,39186,52.48469,-0.155194,0.016984,-0.128027,0.12722
NVDA US 11/21/25 P177.5 Equity,177.5,2025-11-21,PUT,,2.88,2.85,2.89,2.87,1247.0,2185,52.03347,-0.179965,0.018912,-0.139256,0.13982
NVDA US 11/21/25 P180 Equity,180.0,2025-11-21,PUT,,3.4,3.35,3.45,3.4000000000000004,7422.0,57203,51.59365,-0.205643,0.02064,-0.150474,0.151755
NVDA US 11/21/25 P182.5 Equity,182.5,2025-11-21,PUT,,4.02,3.95,4.05,4.0,1264.0,3219,51.25325,-0.234797,0.0224,-0.161605,0.163715
NVDA US 11/21/25 P185 Equity,185.0,2025-11-21,PUT,,4.66,4.65,4.7,4.675000000000001,2335.0,32408,50.76633,-0.262942,0.023939,-0.17095,0.174062
NVDA US 11/21/25 P187.5 Equity,187.5,2025-11-21,PUT,,5.45,5.4,5.45,5.425000000000001,1310.0,1694,50.72505,-0.295627,0.025572,-0.179467,0.184203
NVDA US 11/21/25 P190 Equity,190.0,2025-11-21,PUT,,6.27,6.25,6.35,6.3,4515.0,15056,50.38532,-0.32915,0.026801,-0.188115,0.193037
NVDA US 11/21/25 P192.5 Equity,192.5,2025-11-21,PUT,,7.23,7.2,7.3,7.25,1563.0,563,50.07749,-0.367439,0.028234,-0.193727,0.20048
NVDA US 11/21/25 P195 Equity,195.0,2025-11-21,PUT,,8.3,8.25,8.35,8.3,2935.0,7600,49.9544,-0.403763,0.029015,-0.199554,0.206122
NVDA US 11/21/25 P197.5 Equity,197.5,2025-11-21,PUT,,9.65,9.45,9.5,9.475,576.0,65,49.99009,-0.441423,0.029376,-0.20499,0.210022
NVDA US 12/19/25 C3.5 Equity,3.5,2025-12-19,CALL,,,194.2,197.05,195.625,0.0,7,584.3189,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C4 Equity,4.0,2025-12-19,CALL,,,193.7,196.55,195.125,0.0,4,557.084,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C4.5 Equity,4.5,2025-12-19,CALL,,,193.2,196.3,194.75,0.0,2,553.7497,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C5 Equity,5.0,2025-12-19,CALL,,176.93,193.9,194.9,194.4,20.0,282,414.0681,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C5.5 Equity,5.5,2025-12-19,CALL,,,192.2,195.1,193.64999999999998,0.0,1,505.4118,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C6 Equity,6.0,2025-12-19,CALL,,174.14,191.7,194.6,193.14999999999998,3.0,16,485.0266,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C6.5 Equity,6.5,2025-12-19,CALL,,,191.2,194.05,192.625,0.0,75,462.0147,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C7 Equity,7.0,2025-12-19,CALL,,,191.35,193.6,192.475,0.0,12,457.661,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C7.5 Equity,7.5,2025-12-19,CALL,,172.5,191.25,193.1,192.175,1.0,218,445.7259,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C8 Equity,8.0,2025-12-19,CALL,,,189.7,192.6,191.14999999999998,0.0,47,426.8697,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C23.5 Equity,23.5,2025-12-19,CALL,,,174.35,177.2,175.77499999999998,0.0,911,,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C24 Equity,24.0,2025-12-19,CALL,,,174.7,176.2,175.45,0.0,2525,219.3141,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C24.5 Equity,24.5,2025-12-19,CALL,,148.79,173.35,176.05,174.7,18.0,1195,,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C25 Equity,25.0,2025-12-19,CALL,,171.0,173.9,175.2,174.55,20.0,5524,233.0177,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C25.5 Equity,25.5,2025-12-19,CALL,,151.9,172.35,175.2,173.77499999999998,10.0,1354,,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C26 Equity,26.0,2025-12-19,CALL,,154.86,171.85,174.7,173.27499999999998,2.0,1580,,1.0,0.0,0.0,0.0
NVDA US 12/19/25 C26.5 Equity,26.5,2025-12-19,CALL,,164.55,171.35,174.55,172.95,10.0,1545,205.3444,1.0,0.0,0.0,0.0
